"tweet_id","created_at","engagements","followers_at_post","url","text"
"1925645964724797711","2025-05-22T20:12Z","1000000","284500","https://x.com/ProjectConstitu/status/1925645964724797711","🚨 BREAKING: Biggest Political Scandal in Over a Decade Rocks Biden Administration 🚨 People have been named in the Biden Autopen Scandal 🔥 Explosive allegations have surfaced exposing what could be the most significant political scandal in at least a decade Sources claim that unelected officials in the Biden White House including Mike Donilon Steve Ricchetti Bruce Reed Anthony Bernal First Lady Jill Biden and Annie Tomasini were running the country using an autopen to sign executive orders and pardons while President Biden was allegedly sidelined by cognitive decline. Rep. Byron Donalds"
"1971363193063628815","2025-09-25T23:56Z","985900","284500","https://x.com/ProjectConstitu/status/1971363193063628815","🚨💥 38 SECONDS OF PURE SEDITION CAUGHT ON TAPE 💥🚨 The biggest political scandal in U.S. history makes Watergate look like childs play. In just 38 seconds of leaked video the entire operation to overthrow the elected President of the United States is exposed from the White House down. According to Director of National Intelligence @DNIGabbard: Barack Hussein Obama ordered the overthrow of the U.S. government on behalf of Hillary Clinton after the 2016 election after the American people said NO. We wanted Donald Trump as our Commander-in-Chief not Hillary Clinton. The names are staggering"
"2033908057382494293","2026-03-17T14:07Z","981500","280000","https://x.com/ProjectConstitu/status/2033908057382494293","🚨BREAKING: Erika Kirks Went On A Shopping SPREE The Day AFTER Charlie Was Assassinated But EVERYONE Grieves Differently Right 😱 We are told a story of a tragic loss and a movement in mourning. But the digital receipts tell a different storyone of a woman who wasn't catatonically depressed but instead was ready for a wardrobe refresh. 🧾 The Receipt: September 11th 2025 According to a verified leak from an insider at Alo Yoga a purchase was made under the name Erika Fransve (her maiden name) just hours after the world learned of Charlie Kirks assassination. The Timing: Charlie was pronounced"
"2035101055017488723","2026-03-20T21:07Z","946100","280100","https://x.com/ProjectConstitu/status/2035101055017488723","🚨 BOMBSHELL: Was The INVESTIGATION Into Charlie Kirks Assassination Intentionally SABOTAGED Former Counter-Terrorism Director Joe Kent just dropped a massive reveal on @MegynKellyShow . He confirms the NCTC was SHUT DOWN from pursuing viable leads involving foreign actors and government ties. The most chilling part Multiple accounts predicted the exact date and method of the shooting days before it happened. ""Extreme coincidence"" or a coordinated hit Joe Kent says the FBI and DOJ effectively killed the probe by letting it ""die in process."" Why is the government protecting the truth FOLLOW"
"2031128156396994789","2026-03-09T22:01Z","943700","280300","https://x.com/ProjectConstitu/status/2031128156396994789","🚨 CANDACE OWENS NUKES THE MATRIX: Props to Tucker Carlson for Exposing Occult Witchcraft in Government The Spell is Breaking 🔥👁 From tonight's explosive Candace Owens podcastShe goes ALL IN praising Tucker Carlson who's VIRAL AF right now for shattering narratives: ""What he is doing is so remarkable and brave. challenging our understanding of politics."" Tucker's simple tweet ""Pray that the spell breaks and the world is saved."" Haters melting down over ""spell""why It screams WITCHCRAFT and MAGIC at play in high places Candace nails it: Occult practitioners are PUSHING WW3. Pagan elites in"
"2040298180747624959","2026-04-04T05:19Z","919300","277200","https://x.com/ProjectConstitu/status/2040298180747624959","🚨SHOCKING: Why Wont The Pentagon Tell Us WHO Was On Pete Hegseths SAM Jet When It Flew Directly Over The Exploding AES plant On Oct 10 And Was Over Fort Huachuca Sept 8-9 ✈🤔 The SAME U.S. military VIP jet (99-0404 / SAM callsign) that Pete Hegseth has been documented flying on repeatedly Flew directly over Fort Huachuca on September 8th & 9th 2025 Then flew directly over the AES explosives plant in Tennessee on October 10th the exact day it exploded killing 16 workers while flames were still burning. Who was on that plane Why was a Secretary of Defense-linked aircraft circling these exact"
"1995183361317576903","2025-11-30T17:29Z","900300","211900","https://x.com/ProjectConstitu/status/1995183361317576903","🚨 HEARTBREAKING VIDEO: Illegal Immigrant Drunk Driver Passes Out at Wheel Slams into Elderly Woman and Her Dog Hero Motorcyclist Springs into Action His helmet cam footage captures the terrifying moment an illegal immigrant intoxicated behind the wheel loses consciousness and crashes head-on into an innocent elderly woman's car. She's trapped inside with her beloved dog both injured in the chaos. Enter the hero: The motorcyclist doesn't hesitate he rushes in frees the woman and her dog from the wreckage and guides them to safety. Bystanders step up to provide immediate medical aid as they"
"1950405428896289050","2025-07-30T03:57Z","888600","140800","https://x.com/ProjectConstitu/status/1950405428896289050","🚨LIVE: EMERGENCY TSUNAMI WARNING ISSUED FOR HAWAII AFTER EARTHQUAKE NEAR RUSSIA https://x.com/i/broadcasts/1kvKpybERoQGE https://x.com/i/broadcasts/1kvKpybERoQGE"
"2010162703508070893","2026-01-11T01:31Z","853600","274300","https://x.com/ProjectConstitu/status/2010162703508070893","🚨 The Charlie Kirk ""shooting"" is one of the biggest cover-ups in American history and the evidence is exploding right in front of us. Forget the fairy tale about Tyler Robinson and his magic 30-06 from the rooftop. The official story doesn't hold up when you look at the REAL footage. Charlie was wearing a tempered glass lavalier microphone (RDE wireless style). Stew Peters dropped the bomb: glass shards EVERYWHERE in the transport SUV flying on video during the collapse embedded in clothing classic signature of an explosive shatter just like the Hezbollah pager bombs in 2024. But zoom in"
"2027159553024852026","2026-02-26T23:11Z","775600","262900","https://x.com/ProjectConstitu/status/2027159553024852026","🚨 EPISODE 2 JUST DROPPED And Erikas Own Ex-Boyfriends Are All Saying The Same Thing 😳 Candace went straight for the jugular in the new episode of The Bride of Charlie. Shes been speaking to Erikas exes and every single one of them says the exact same thing: I do not recognize who this human is at all anymore. The person she is pretending to be is very different from the woman I dated. Then came the creepiest story yet: One ex told Candace that Erika woke up one morning and claimed his dead grandfather had visited her in a dream with a special message for him. Candaces perfect comparison: It"
"1932333627381076117","2025-06-10T07:06Z","755400","122000","https://x.com/ProjectConstitu/status/1932333627381076117","🚨BREAKING: RIOTERS THREW SUSPECTED PIPE BOMB NOW JUST NOW IN LA AND BLEW UP A CAR Here We Go Again More LIVE LA RIOTS https://t.co/9IuJg0E2wf Here We Go Again More LIVE LA RIOTS https://t.co/9IuJg0E2wf"
"1969481831788790099","2025-09-20T19:20Z","754200","170000","https://x.com/ProjectConstitu/status/1969481831788790099","🚨 MAJOR UPDATE: NEW VIDEO EVIDENCE IN CHARLIE KIRK MURDER CASE ENTRY WOUND SPOTTED ON NECK A friend sent me this INSANE clip zooming in on the exact moment Watch the indentation & BLUR from a fast-moving object (bullet) hitting Charlie's back neckshirt jumps on impact No way that's a flinch This LINES UP PERFECTLY with our trajectory analysis: Shot from RIGHT SIDE/BEHIND entry on back right neck exit on left front (massive blood splatter). We might need clearer footage to confirm 100% but it's PLAUSIBLE AF & DESTROYS FBI's roof shooter BS even more Clear as day in the videntry wound evidence"
"2048293798287901139","2026-04-26T06:51Z","724800","284500","https://x.com/ProjectConstitu/status/2048293798287901139","🚨 WHCD SHOOTER: Cole Thomas Allen Connected To Our Favorite AllySeen wearing IDF Sweatshirt And Searched In Israel A Week Prior To The Event. The mainstream media is already working overtime to paint Cole Thomas Allenthe WHCD shooteras just another ""LONE WOLF"" deranged liberal from Torrance. But when you look at the digital trail they tried to scrub the ""Lone Wolf"" story falls apart. 1. THE ISRAEL FOREKNOWLEDGE: How do you explain this Google Trends shows a massive spike in searches for ""Cole Thomas Allen"" originating from Israel on April 23rdTWO DAYS before he stepped foot in the DC Hilton."
"2032759496309686700","2026-03-14T10:03Z","705100","273400","https://x.com/ProjectConstitu/status/2032759496309686700","🚨FOLLOW-UP: The Erika Kirk Audio is rREAL and the context is even more DAMNING than we Initially Thought. Let's clear up the disinformation first. The audio file from the DOJ has no year listed only April 20th. Anyone telling you they know the exact year is lying or speculating. The facts are what matter and the facts are in the recording. Now let's connect this bombshell audio to the other bombshell revelations from @RealCandaceO. Candace has already exposed Erika's deep ties to Epstein's network in both Romania and New York City. The most crucial piece of information Erika was the real"
"1983229744675000738","2025-10-28T17:49Z","698800","205600","https://x.com/ProjectConstitu/status/1983229744675000738","🚨BREAKING: New Video PROVES Charlie Kirk's SECURITY BLOCKED STAND-BY EMS CREW From Providing CRITICAL LIFE-SAVING AID In The Minutes After Charlie Kirk Was SHOT New footage captured by ""grey shirt guy"" corroborates insider reports: On-site EMS personnel were prevented from providing critical life-saving care to Charlie immediately after he was shot. Watch as security rushes him into an SUVEMS right behind ready to assist. Yet theyre abruptly halted at the vehicle. One team member even offers their trauma kit (gauze AED essentials for en-route stabilization)rejected outright. Why Why block"
